x
51
1
1
1
1
5
12
3
1
1
0
6
2
1
2
3
1
1
3
1
3
1
1
1
2
2
4
1
1
2
1
2
8
1
2
2
1
2
1
1
2
2
1
1
2
5
2
14
1
34
6
4
5
9
35
3
1
39
3
7
37
2
7
3
3
1
1
5
13
0
2
1
1
1
4
1
1
1
6
5
6
2
5
2
1
1
1
1
1
4
2
1
1
1
2
1
1
2
2
2
8
1
24
2
1
1
3
1
3
13
1
29
3
3
4
8
3
9
7
10
3
3
3
9
1
4
2
1
2
1
1
1
14
26
2
1
3
1
1
3
17
2
1
3
8
3
19
1
1
1
1
5
1
1
4
1
1
1
13
1
3
2
2
4
7
3
6
1
2
1
3
1
1
1
33
1
1
1
2
2
2
4
1
3
3
1
8
5
1
1
2
1
3
1
1
6
1
1
1
2
6
3
2
1
3
4
1
1
2
1
3
1
1
7
2
7
1
2
4
5
3
2
12
20
1
32
3
4
1
2
0
22
0
9
1
3
7
1
8
2
7
9
1
1
3
1
1
27
8
1
1
3
3
2
2
6
3
2
5
15
3
1
1
2
1
4
1
6
1
1
1
2
5
3
4
5
1
1
7
3
2
1
2
2
1
1
4
1
1
4
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
1
7
2
1
2
9
3
1
1
1
1
1
23
2
1
4
1
1
3
3
4
